,m,n,r
22,"(_65:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e1e\u0e19\u0e0b\u0e34\u0e25'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_65)
23,"(_64:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e01\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e07\u0e17\u0e23\u0e07\u0e40\u0e2d'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_64)
24,"(_31:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e23\u0e2d\u0e21\u0e40\u0e1b\u0e2d\u0e23\u0e4c'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_31)
25,"(_30:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e0a\u0e31\u0e49\u0e19\u0e43\u0e19'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_30)
26,"(_29:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e17\u0e34\u0e27\u0e25\u0e34\u0e1b'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_29)
27,"(_28:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: ''})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_28)
28,"(_27:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e40\u0e0a\u0e34\u0e49\u0e15\u0e40\u0e14\u0e23\u0e2a'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_27)
29,"(_26:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e17\u0e23\u0e07\u0e15\u0e38\u0e4a\u0e01\u0e15\u0e32'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_26)
30,"(_19:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e41\u0e23\u0e1b'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_19)
31,"(_18:subEntity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e0a\u0e38\u0e14\u0e40\u0e14\u0e23\u0e2a'})","(_17:Entity {Entity: '\u0e0a\u0e38\u0e14', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_17)-[:sub_entity {}]->(_18)
32,"(_611:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e19\u0e2d\u0e01'})","(_63:Entity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_63)-[:sub_entity {}]->(_611)
33,"(_105:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e43\u0e19'})","(_63:Entity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_63)-[:sub_entity {}]->(_105)
34,"(_66:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})","(_63:Entity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35'})",(_63)-[:sub_entity {}]->(_66)
35,"(_625:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e04\u0e2d\u0e1b\u0e01', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})","(_66:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})",(_66)-[:sub_category {}]->(_625)
36,"(_624:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e40\u0e2a\u0e37\u0e48\u0e2d\u0e04\u0e23\u0e2d\u0e1b\u0e17\u0e47\u0e2d\u0e1b, \u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e04\u0e23\u0e2d\u0e1b, \u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e40\u0e2d\u0e27\u0e25\u0e2d\u0e22', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})","(_66:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})",(_66)-[:sub_category {}]->(_624)
37,"(_569:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e01\u0e31\u0e19\u0e2b\u0e19\u0e32\u0e27', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})","(_66:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})",(_66)-[:sub_category {}]->(_569)
38,"(_568:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e22\u0e37\u0e14', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})","(_66:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})",(_66)-[:sub_category {}]->(_568)
39,"(_341:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e23\u0e07\u0e43\u0e2b\u0e0d\u0e48', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})","(_66:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})",(_66)-[:sub_category {}]->(_341)
40,"(_142:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1b\u0e32\u0e14\u0e44\u0e2b\u0e25\u0e48, \u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e40\u0e1b\u0e34\u0e14\u0e44\u0e2b\u0e25\u0e48', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})","(_66:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})",(_66)-[:sub_category {}]->(_142)
41,"(_141:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e40\u0e0a\u0e34\u0e49\u0e15', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})","(_66:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})",(_66)-[:sub_category {}]->(_141)
42,"(_140:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e01\u0e25\u0e49\u0e32\u0e21', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})","(_66:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})",(_66)-[:sub_category {}]->(_140)
43,"(_121:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e2a\u0e32\u0e22\u0e40\u0e14\u0e35\u0e48\u0e22\u0e27', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})","(_66:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})",(_66)-[:sub_category {}]->(_121)
44,"(_70:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e42\u0e1b\u0e42\u0e25', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})","(_66:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})",(_66)-[:sub_category {}]->(_70)
45,"(_69:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e40\u0e1a\u0e25\u0e32\u0e2a\u0e4c', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})","(_66:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})",(_66)-[:sub_category {}]->(_69)
46,"(_32:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e04\u0e2d\u0e40\u0e15\u0e48\u0e32', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})","(_66:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d'})",(_66)-[:sub_category {}]->(_32)
47,"(_570:sub_category {Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_category: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07\u0e22\u0e35\u0e19\u0e2a\u0e4c', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})","(_67:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e25\u0e48\u0e32\u0e07', Gender: '\u0e2b\u0e0d\u0e34\u0e07,\u0e2a\u0e15\u0e23\u0e35', sub_entity: '\u0e01\u0e32\u0e07\u0e40\u0e01\u0e07'})",(_67)-[:sub_category {}]->(_570)
