,m,n,r
88,"(_79:sub_category {Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_category: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e22\u0e37\u0e14', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})","(_143:subEntity {Entity: '\u0e2a\u0e48\u0e27\u0e19\u0e1a\u0e19', Gender: '\u0e0a\u0e32\u0e22,\u0e1a\u0e38\u0e23\u0e38\u0e29', sub_entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e17\u0e31\u0e48\u0e27\u0e44\u0e1b'})",(_143)-[:sub_category {}]->(_79)
89,"(_401:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e14\u0e32\u0e27'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_401)
90,"(_400:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e18\u0e07'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_400)
91,"(_399:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e43\u0e1a\u0e44\u0e21\u0e49'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_399)
92,"(_398:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e19\u0e2d\u0e23\u0e4c\u0e14\u0e34\u0e01'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_398)
93,"(_397:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e25\u0e39\u0e01\u0e19\u0e49\u0e33,\u0e25\u0e32\u0e22\u0e40\u0e1e\u0e2a\u0e25\u0e35\u0e22\u0e4c,\u0e25\u0e32\u0e22\u0e42\u0e1a\u0e40\u0e17\u0e18\u0e4c'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_397)
94,"(_387:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22Brocade'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_387)
95,"(_386:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e01\u0e23\u0e32\u0e1f\u0e1f\u0e34\u0e01'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_386)
96,"(_385:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e0b\u0e34\u0e01\u0e41\u0e0b\u0e01'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_385)
97,"(_384:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e2e\u0e32\u0e27\u0e2a\u0e4c\u0e17\u0e39\u0e18,\u0e25\u0e32\u0e22\u0e1f\u0e31\u0e19\u0e2a\u0e38\u0e19\u0e31\u0e02'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_384)
98,"(_383:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e15\u0e23\u0e07,\u0e25\u0e32\u0e22\u0e17\u0e32\u0e07\u0e22\u0e32\u0e27,\u0e25\u0e32\u0e22\u0e17\u0e32\u0e07'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_383)
99,"(_382:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e15\u0e31\u0e27\u0e2b\u0e19\u0e31\u0e07\u0e2a\u0e37\u0e2d,\u0e25\u0e32\u0e22\u0e15\u0e31\u0e27\u0e2d\u0e31\u0e01\u0e29\u0e23'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_382)
100,"(_363:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e2a\u0e31\u0e15\u0e27\u0e4c'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_363)
101,"(_362:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e1e\u0e37\u0e49\u0e19\u0e40\u0e21\u0e37\u0e2d\u0e07'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_362)
102,"(_361:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e21\u0e31\u0e14\u0e22\u0e49\u0e2d\u0e21'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_361)
103,"(_360:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e08\u0e38\u0e14,\u0e25\u0e32\u0e22\u0e42\u0e1e\u0e25\u0e01\u0e49\u0e32\u0e14\u0e2d\u0e17'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_360)
104,"(_359:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e2b\u0e19\u0e31\u0e07\u0e2a\u0e31\u0e15\u0e27\u0e4c'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_359)
105,"(_334:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22Solid'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_334)
106,"(_333:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e40\u0e23\u0e02\u0e32\u0e04\u0e13\u0e34\u0e15'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_333)
107,"(_327:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e44\u0e17\u0e22'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_327)
108,"(_326:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e01\u0e32\u0e07\u0e40\u0e02\u0e19,\u0e25\u0e32\u0e22\u0e1a\u0e27\u0e01'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_326)
109,"(_325:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e40\u0e23\u0e01\u0e40\u0e01\u0e49'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_325)
110,"(_324:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e04\u0e31\u0e49\u0e07'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_324)
111,"(_320:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e2a\u0e01\u0e47\u0e2d\u0e15,\u0e25\u0e32\u0e22\u0e15\u0e32\u0e23\u0e32\u0e07\u0e17\u0e32\u0e23\u0e4c\u0e17\u0e31\u0e19'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_320)
112,"(_316:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e14\u0e2d\u0e01'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_316)
113,"(_260:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e25\u0e39\u0e01\u0e44\u0e21\u0e49'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_260)
114,"(_247:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e44\u0e21\u0e48\u0e21\u0e35\u0e25\u0e32\u0e22'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_247)
115,"(_226:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e1e\u0e23\u0e32\u0e07'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_226)
116,"(_225:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e21\u0e31\u0e14\u0e2b\u0e21\u0e35\u0e48'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_225)
117,"(_224:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e2d\u0e32\u0e23\u0e4c\u0e01\u0e32\u0e22\u0e25\u0e4c'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_224)
118,"(_168:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e2b\u0e21\u0e32\u0e01\u0e23\u0e38\u0e01,\u0e25\u0e32\u0e22\u0e15\u0e32\u0e23\u0e32\u0e07'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_168)
119,"(_169:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e17\u0e32\u0e07,\u0e25\u0e32\u0e22\u0e17\u0e32\u0e07\u0e01\u0e31\u0e19\u0e2a\u0e32\u0e14,\u0e25\u0e32\u0e22\u0e2a\u0e44\u0e15\u0e23\u0e1b\u0e4c'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_169)
120,"(_170:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e02\u0e27\u0e32\u0e07'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_170)
121,"(_171:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e01\u0e49\u0e32\u0e07\u0e1b\u0e25\u0e32,\u0e25\u0e32\u0e22\u0e40\u0e2e\u0e2d\u0e23\u0e4c\u0e23\u0e34\u0e48\u0e07\u0e42\u0e1a\u0e19'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_171)
122,"(_172:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22Quatrefoil'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_172)
123,"(_223:Subpattern_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', Subpattern_Entity: '\u0e25\u0e32\u0e22\u0e01\u0e34\u0e07\u0e41\u0e2e\u0e21,\u0e25\u0e32\u0e22\u0e27\u0e34\u0e0a\u0e0a\u0e35\u0e48,\u0e25\u0e32\u0e22\u0e15\u0e32\u0e23\u0e32\u0e07\u0e01\u0e34\u0e07\u0e41\u0e2e\u0e21'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:patten/material {}]->(_223)
124,"(_95:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', style_Type: '\u0e17\u0e32\u0e07\u0e01\u0e32\u0e23'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:style {}]->(_95)
125,"(_96:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', style_Type: '\u0e2a\u0e15\u0e23\u0e35\u0e17'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:style {}]->(_96)
126,"(_97:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', style_Type: '\u0e40\u0e19\u0e35\u0e4a\u0e22\u0e1a'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:style {}]->(_97)
127,"(_98:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', style_Type: '\u0e40\u0e1e\u0e23\u0e1e\u0e1e\u0e35\u0e49'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:style {}]->(_98)
128,"(_99:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', style_Type: '\u0e40\u0e0b\u0e47\u0e01\u0e0b\u0e35\u0e48'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:style {}]->(_99)
129,"(_137:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', style_Type: '\u0e44\u0e21\u0e48\u0e40\u0e1b\u0e47\u0e19\u0e17\u0e32\u0e07\u0e01\u0e32\u0e23'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:style {}]->(_137)
130,"(_138:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', style_Type: '\u0e42\u0e21\u0e40\u0e14\u0e34\u0e23\u0e4c\u0e19'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:style {}]->(_138)
131,"(_139:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', style_Type: '\u0e17\u0e2d\u0e21\u0e1a\u0e2d\u0e22,\u0e1a\u0e2d\u0e22\u0e46'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:style {}]->(_139)
132,"(_208:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', style_Type: '\u0e22\u0e34\u0e1b\u0e0b\u0e35'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:style {}]->(_208)
133,"(_212:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', style_Type: '\u0e19\u0e31\u0e01\u0e40\u0e23\u0e35\u0e22\u0e19,\u0e04\u0e2d\u0e25\u0e40\u0e25\u0e08'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:style {}]->(_212)
134,"(_214:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', style_Type: '\u0e41\u0e23\u0e1b\u0e40\u0e1b\u0e2d\u0e23\u0e4c,\u0e2e\u0e34\u0e1b\u0e2e\u0e2d\u0e1b,\u0e2e\u0e34\u0e1e\u0e2e\u0e2d\u0e1e'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:style {}]->(_214)
135,"(_215:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', style_Type: '\u0e41\u0e19\u0e27\u0e01\u0e23\u0e31\u0e19\u0e08\u0e4c,\u0e41\u0e19\u0e27\u0e27\u0e31\u0e22\u0e23\u0e38\u0e48\u0e19\u0e1d\u0e23\u0e31\u0e48\u0e07,\u0e40\u0e14\u0e47\u0e01\u0e41\u0e19\u0e27,\u0e41\u0e19\u0e27\u0e14\u0e34\u0e1a'})","(_167:Style_Entity {Big_type_Entity: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32', category_Type: '\u0e40\u0e2a\u0e37\u0e49\u0e2d\u0e1c\u0e49\u0e32'})",(_167)-[:style {}]->(_215)
